id,default_fertilizing_interval_days
00000000-0000-0000-0000-000000000011,14
00000000-0000-0000-0000-000000000012,14
00000000-0000-0000-0000-000000000013,21
00000000-0000-0000-0000-000000000014,14
00000000-0000-0000-0000-000000000015,21
00000000-0000-0000-0000-000000000016,21
00000000-0000-0000-0000-000000000017,21
00000000-0000-0000-0000-000000000018,42
00000000-0000-0000-0000-000000000019,28
00000000-0000-0000-0000-000000000020,14
00000000-0000-0000-0000-000000000021,14
00000000-0000-0000-0000-000000000022,21
00000000-0000-0000-0000-000000000023,14
00000000-0000-0000-0000-000000000024,21
00000000-0000-0000-0000-000000000025,21
00000000-0000-0000-0000-000000000026,28
00000000-0000-0000-0000-000000000027,28
00000000-0000-0000-0000-000000000028,42
00000000-0000-0000-0000-000000000029,28
00000000-0000-0000-0000-000000000030,21
00000000-0000-0000-0000-000000000031,14
00000000-0000-0000-0000-000000000032,14
00000000-0000-0000-0000-000000000033,28
00000000-0000-0000-0000-000000000034,28
00000000-0000-0000-0000-000000000035,14
00000000-0000-0000-0000-000000000036,7
00000000-0000-0000-0000-000000000037,7
00000000-0000-0000-0000-000000000038,7
00000000-0000-0000-0000-000000000039,28
00000000-0000-0000-0000-000000000040,7
00000000-0000-0000-0000-000000000041,14
